date,new_cases,total_cases,new_deaths,total_deaths,new_recovery,total_recovery,total_hospitalized,total_icu
2020-04-05,179,3662,4,61,90,1005,2596,99
2020-04-04,150,3483,4,57,88,915,2511,99
2020-04-03,217,3333,3,53,60,827,2453,108
2020-04-02,208,3116,5,50,122,767,2299,105
2020-04-01,142,2908,2,45,108,645,2218,102
2020-03-31,140,2766,6,43,58,537,2186,94
2020-03-30,156,2626,3,37,91,479,2110,94
2020-03-29,150,2470,7,34,68,388,2048,73
2020-03-28,159,2320,1,27,61,320,1973,73
2020-03-27,130,2161,3,26,44,259,1876,54
2020-03-26,235,2031,4,23,16,215,1793,45
2020-03-25,172,1796,4,19,16,199,1578,45
2020-03-24,106,1624,1,15,24,183,1426,64
2020-03-23,212,1518,3,14,20,159,1345,57
2020-03-22,123,1306,3,11,25,139,1156,46
2020-03-21,153,1183,4,8,27,114,1061,37
2020-03-20,130,1030,1,4,12,87,939,26
2020-03-19,110,900,0,3,15,75,822,20
2020-03-18,117,790,1,3,11,60,727,15
2020-03-17,120,673,2,2,7,49,622,12
2020-03-16,125,553,0,0,0,42,511,12
2020-03-15,190,428,0,0,7,42,386,12
2020-03-14,41,238,0,0,2,35,203,5
2020-03-13,39,197,0,0,1,33,164,4
2020-03-12,9,158,0,0,6,32,126,3
2020-03-11,20,149,0,0,1,26,123,2
2020-03-10,12,129,0,0,1,25,104,0
2020-03-09,18,117,0,0,0,24,93,0
2020-03-08,6,99,0,0,1,24,75,0
2020-03-07,10,93,0,0,0,23,70,0
2020-03-06,28,83,0,0,1,23,60,0
2020-03-05,5,55,0,0,0,22,33,0
2020-03-04,14,50,0,0,0,22,28,0
2020-03-03,7,36,0,0,0,22,14,0
2020-03-02,0,29,0,0,0,22,7,0
2020-03-01,4,29,0,0,0,22,7,0
2020-02-29,0,25,0,0,0,22,3,0
2020-02-28,3,25,0,0,2,22,3,0
2020-02-27,0,22,0,0,0,20,2,0
2020-02-26,0,22,0,0,0,20,2,0
2020-02-25,0,22,0,0,2,20,2,0
2020-02-24,0,22,0,0,0,18,4,0
2020-02-23,0,22,0,0,1,18,4,0
2020-02-22,0,22,0,0,0,17,5,0
2020-02-21,0,22,0,0,2,17,5,0
2020-02-20,0,22,0,0,2,15,7,0
2020-02-19,0,22,0,0,4,13,9,0
2020-02-18,0,22,0,0,0,9,13,0
2020-02-17,0,22,0,0,2,9,13,0
2020-02-16,0,22,0,0,0,7,15,0
2020-02-15,3,22,0,0,0,7,15,0
2020-02-14,0,19,0,0,4,7,12,0
2020-02-13,1,19,0,0,0,3,16,0
2020-02-12,0,18,0,0,0,3,15,0
2020-02-11,0,18,0,0,0,3,15,0
2020-02-10,1,18,0,0,0,3,15,0
2020-02-09,1,17,0,0,1,3,14,0
2020-02-08,2,16,0,0,1,2,14,0
2020-02-07,0,14,0,0,0,1,13,0
2020-02-06,2,14,0,0,0,1,13,0
2020-02-05,2,12,0,0,0,1,11,0
2020-02-04,2,10,0,0,1,1,9,0
2020-02-03,0,8,0,0,0,0,8,0
2020-02-02,0,8,0,0,0,0,8,0
2020-02-01,0,8,0,0,0,0,8,0
2020-01-31,0,8,0,0,0,0,8,0
2020-01-30,1,8,0,0,0,0,8,0
2020-01-29,3,7,0,0,0,0,7,0
2020-01-28,0,4,0,0,0,0,4,0
2020-01-27,0,4,0,0,0,0,4,0
2020-01-26,1,4,0,0,0,0,4,0
2020-01-25,3,3,0,0,0,0,3,0